,SalePrice,Overall Qual,Gr Liv Area,Total Bsmt SF,Garage Area,Year Built,Year Remod/Add,Full Bath,Mas Vnr Area,Fireplaces,Lot Area,Lot Frontage,Wood Deck SF,Open Porch SF,Neighborhood,Kitchen Qual,Exter Qual,Bsmt Qual,Garage Finish,Foundation,House Style,Sale Condition
13,171500,7,1341,1300.0,506.0,1990,1990,1,0.0,1,10176,85.0,192,0,Gilbert,Gd,TA,Gd,Unf,PConc,1Story,Normal
14,212000,8,1502,1488.0,528.0,1985,1985,1,0.0,0,6820,,0,54,StoneBr,Gd,Gd,Gd,RFn,PConc,1Story,Normal
15,538000,8,3279,1650.0,841.0,2003,2003,3,603.0,1,53504,47.0,503,36,StoneBr,Ex,Ex,Gd,Fin,PConc,2Story,Normal
16,164000,8,1752,559.0,492.0,1988,2005,2,0.0,0,12134,152.0,325,12,Gilbert,TA,Gd,Gd,RFn,Wood,1.5Fin,Normal
17,394432,9,1856,1856.0,834.0,2010,2010,1,350.0,1,11394,88.0,113,0,StoneBr,Ex,Gd,Ex,Fin,PConc,1Story,Partial
18,141000,4,864,864.0,400.0,1951,1951,1,0.0,0,19138,140.0,0,0,Gilbert,TA,TA,TA,Unf,CBlock,1Story,Normal
19,210000,6,2073,1542.0,500.0,1978,1988,2,119.0,2,13175,85.0,349,0,NWAmes,TA,TA,Gd,Unf,CBlock,1Story,Normal
20,190000,6,1844,1844.0,546.0,1977,1977,2,480.0,1,11751,105.0,0,122,NWAmes,TA,TA,Gd,RFn,CBlock,1Story,Normal
21,170000,7,1173,1053.0,528.0,1974,1974,2,81.0,2,10625,85.0,0,120,NWAmes,Gd,TA,Gd,RFn,CBlock,SFoyer,Family
22,216000,7,1674,814.0,663.0,2000,2000,2,0.0,0,7500,,0,96,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
23,149000,6,1004,1004.0,480.0,1970,1970,1,180.0,1,11241,,0,0,NAmes,TA,TA,TA,Fin,CBlock,1Story,Normal
24,149900,5,1078,1078.0,500.0,1971,2008,1,0.0,1,12537,,0,0,NAmes,TA,TA,TA,Fin,CBlock,1Story,Normal
25,142000,5,1056,1056.0,304.0,1968,1968,1,0.0,1,8450,65.0,0,85,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
26,126000,4,882,882.0,525.0,1970,1970,1,0.0,0,8400,70.0,240,0,NAmes,TA,TA,TA,Fin,CBlock,1Story,Normal
27,115000,4,864,864.0,0.0,1971,1971,1,0.0,1,10500,70.0,0,0,NAmes,TA,TA,TA,,CBlock,1Story,Normal
28,184000,7,1337,1405.0,511.0,1999,1999,2,0.0,1,5858,26.0,203,68,NAmes,Gd,Gd,Gd,Fin,PConc,1Story,Normal
29,96000,6,987,483.0,264.0,1971,1971,1,504.0,0,1680,21.0,275,0,BrDale,TA,TA,TA,Unf,CBlock,2Story,Normal
30,105500,5,1092,525.0,320.0,1971,1971,1,492.0,0,1680,21.0,0,0,BrDale,TA,TA,TA,Unf,CBlock,2Story,Normal
31,88000,6,1092,525.0,264.0,1971,1971,1,381.0,0,1680,21.0,0,0,BrDale,TA,TA,TA,Unf,CBlock,2Story,Family
32,127500,6,1069,1069.0,440.0,1977,1977,2,0.0,1,4043,53.0,0,55,NPkVill,TA,TA,Gd,RFn,CBlock,1Story,Normal
33,149900,6,1456,855.0,440.0,1975,1975,2,0.0,1,2280,24.0,173,0,NPkVill,Gd,TA,TA,Unf,CBlock,2Story,Normal
34,120000,7,836,836.0,308.0,1975,1975,1,0.0,0,2280,24.0,0,30,NPkVill,TA,TA,Gd,Unf,CBlock,1Story,Normal
35,146000,6,1456,855.0,440.0,1978,1978,2,0.0,1,2280,24.0,26,0,NPkVill,TA,TA,Gd,Unf,CBlock,2Story,Normal
36,376162,9,2334,1590.0,751.0,2009,2010,2,162.0,1,12858,102.0,144,133,NridgHt,Ex,Ex,Ex,Fin,PConc,2Story,Partial
37,306000,8,1704,1704.0,772.0,2007,2008,2,200.0,1,11478,98.0,0,50,NridgHt,Gd,Gd,Ex,RFn,PConc,1Story,Normal
38,395192,9,1940,1930.0,606.0,2009,2010,2,450.0,1,10159,83.0,168,95,NridgHt,Ex,Ex,Ex,Fin,PConc,1Story,Partial
39,290941,8,1544,1544.0,868.0,2009,2010,2,256.0,0,12883,94.0,0,35,NridgHt,Gd,Gd,Gd,RFn,PConc,1Story,Partial
40,220000,7,1541,1541.0,532.0,2005,2005,2,226.0,1,12182,95.0,0,70,NridgHt,Gd,Gd,Gd,RFn,PConc,1Story,Partial
41,275000,9,1698,1698.0,730.0,2005,2005,2,615.0,1,11520,90.0,192,74,NridgHt,Ex,Gd,Ex,Fin,PConc,1Story,Normal
42,259000,8,1822,1822.0,678.0,2005,2006,2,240.0,1,14122,79.0,0,119,NridgHt,Ex,Gd,Ex,RFn,PConc,1Story,Normal
43,214000,7,1535,1517.0,532.0,2004,2004,2,168.0,0,10171,70.0,0,0,NridgHt,Gd,Gd,Gd,RFn,PConc,1Story,Normal
44,611657,9,2364,2330.0,820.0,2009,2010,2,760.0,2,12919,100.0,0,67,NridgHt,Ex,Ex,Ex,Fin,PConc,1Story,Partial
45,224000,7,1358,1358.0,484.0,2009,2010,2,128.0,1,6371,44.0,192,35,NridgHt,Gd,Gd,Gd,RFn,PConc,1Story,Partial
46,500000,9,2696,2846.0,958.0,2003,2004,2,1095.0,2,14300,110.0,220,150,NridgHt,Ex,Ex,Ex,Fin,PConc,1Story,Normal
47,320000,8,2250,1671.0,756.0,2002,2002,2,232.0,1,13650,105.0,238,130,NridgHt,Gd,Gd,Gd,Fin,PConc,2Story,Normal
48,319900,9,1752,1752.0,576.0,2005,2005,2,412.0,1,7658,61.0,196,82,NridgHt,Ex,Ex,Ex,RFn,PConc,1Story,Normal
49,205000,8,1370,1370.0,484.0,2006,2006,2,178.0,1,7132,41.0,120,49,NridgHt,Gd,Gd,Gd,RFn,PConc,1Story,Normal
50,175500,7,1626,764.0,474.0,2003,2003,2,106.0,0,2628,36.0,0,27,NridgHt,Gd,Gd,Gd,RFn,PConc,2Story,Normal
51,199500,6,1324,1324.0,430.0,2005,2005,2,0.0,0,18494,100.0,36,23,Gilbert,Gd,Gd,Gd,Fin,PConc,1Story,Normal
52,160000,7,1145,1145.0,437.0,2006,2006,2,14.0,0,3203,43.0,100,116,Blmngtn,Gd,Gd,Gd,Fin,PConc,1Story,Normal
53,192000,8,1269,1256.0,430.0,2004,2005,2,16.0,1,3182,43.0,146,20,Blmngtn,Gd,Gd,Gd,Fin,PConc,1Story,Normal
54,184500,7,1374,384.0,400.0,2004,2004,2,0.0,1,13300,67.0,100,0,Gilbert,Gd,Gd,Gd,Fin,PConc,SLvl,Normal
55,216500,6,1960,860.0,440.0,2002,2002,2,,2,7851,,288,48,Gilbert,Gd,Gd,Gd,Fin,PConc,2Story,Normal
56,185088,7,1733,847.0,433.0,2004,2004,2,0.0,1,8577,63.0,144,48,Gilbert,Gd,Gd,Gd,Fin,PConc,2Story,Normal
57,180000,7,1430,384.0,400.0,2000,2000,2,0.0,1,7750,,180,0,Gilbert,TA,TA,Gd,Fin,PConc,SLvl,Normal
58,222500,7,2035,884.0,434.0,2001,2001,2,180.0,1,9505,,144,48,Gilbert,Gd,Gd,Gd,Fin,PConc,2Story,Normal
59,333168,9,2599,1393.0,779.0,1999,1999,2,165.0,1,14774,108.0,668,30,NoRidge,Gd,Gd,Gd,Fin,PConc,2Story,Normal
60,355000,8,2475,1629.0,962.0,1998,1998,2,114.0,1,17433,60.0,23,172,NoRidge,Gd,Gd,Ex,Fin,PConc,2Story,Normal
61,260400,7,1720,1720.0,527.0,1996,1996,2,338.0,1,10593,59.0,240,56,NoRidge,Gd,Gd,Gd,Fin,PConc,1Story,Normal
62,325000,8,2622,1463.0,712.0,1994,1995,2,362.0,2,12256,98.0,186,32,NoRidge,Gd,Gd,Ex,RFn,PConc,2Story,Normal
63,290000,8,2270,1152.0,671.0,1999,2007,2,348.0,1,11764,92.0,132,57,NoRidge,Gd,Gd,Gd,Fin,PConc,2Story,Normal
64,221000,7,1839,1195.0,486.0,1998,1998,2,30.0,0,16770,58.0,0,81,NoRidge,TA,Gd,Gd,Fin,PConc,2Story,Normal
65,410000,8,3238,2033.0,666.0,1995,1996,2,579.0,1,14720,56.0,283,86,NoRidge,Gd,Gd,Gd,Fin,PConc,1.5Fin,Normal
66,221500,8,1595,1595.0,880.0,2005,2006,2,226.0,1,8987,73.0,144,0,Somerst,Gd,Gd,Gd,RFn,PConc,1Story,Normal
67,204500,7,1218,1218.0,676.0,2009,2010,2,0.0,0,9215,92.0,0,136,Somerst,Gd,Gd,Gd,RFn,PConc,1Story,Partial
68,215200,7,1547,756.0,614.0,2009,2009,2,0.0,0,8640,72.0,169,45,Somerst,Gd,TA,Gd,Unf,PConc,2Story,Normal
69,262500,8,1566,1566.0,750.0,2008,2008,2,36.0,0,9000,75.0,144,168,Somerst,Gd,Gd,Gd,RFn,PConc,1Story,Normal
70,254900,7,1947,991.0,678.0,2004,2005,2,0.0,1,12552,100.0,0,136,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
71,271500,6,1468,1468.0,528.0,2005,2005,2,0.0,1,10440,84.0,0,102,Somerst,Gd,Gd,Ex,Fin,PConc,1Story,Normal
72,233000,7,2084,956.0,618.0,2004,2004,2,0.0,0,10142,76.0,0,45,SawyerW,Gd,Gd,Gd,RFn,PConc,2Story,Normal
73,181000,7,1659,831.0,484.0,2004,2004,2,122.0,0,11920,70.0,144,68,SawyerW,Gd,Gd,Gd,RFn,PConc,2Story,Normal
74,205000,7,2110,948.0,463.0,1994,2002,2,0.0,2,8880,,0,130,SawyerW,Gd,Gd,Gd,RFn,PConc,2Story,Normal
75,143000,6,923,923.0,264.0,1980,1980,2,0.0,1,8012,50.0,80,0,SawyerW,TA,TA,Gd,RFn,CBlock,1Story,Normal
76,189000,6,1845,1055.0,462.0,1992,1992,2,0.0,1,11218,70.0,635,104,SawyerW,Gd,Gd,Gd,RFn,PConc,2Story,Normal
77,99500,6,918,918.0,264.0,1979,1979,2,0.0,1,7892,55.0,28,0,SawyerW,TA,TA,Gd,Unf,CBlock,1Story,Normal
78,125000,6,752,744.0,264.0,1984,1984,1,0.0,0,7175,50.0,353,0,SawyerW,TA,TA,Gd,Unf,CBlock,1Story,Normal
79,194500,7,1744,996.0,457.0,1993,2003,2,0.0,0,9453,,370,70,SawyerW,Gd,Gd,Gd,RFn,PConc,2Story,Normal
80,152000,6,1097,1040.0,480.0,1984,1985,2,0.0,0,9672,81.0,0,0,SawyerW,TA,TA,Gd,Unf,PConc,1Story,Normal
81,171000,6,1564,650.0,476.0,1980,1981,2,130.0,1,8400,70.0,0,50,SawyerW,TA,TA,Gd,Unf,CBlock,2Story,Normal
82,67500,5,1012,816.0,429.0,1920,1950,1,0.0,0,9800,70.0,121,0,SawyerW,TA,TA,TA,Unf,BrkTil,1Story,Normal
83,112000,6,1902,0.0,539.0,1978,1978,2,0.0,0,8930,68.0,0,0,Sawyer,TA,TA,,Unf,Slab,1.5Fin,Normal
84,148000,5,1155,1109.0,576.0,1961,1995,1,0.0,0,11782,88.0,192,0,Sawyer,Gd,TA,TA,Unf,CBlock,SFoyer,Normal
85,138500,5,894,894.0,336.0,1965,2009,1,0.0,1,8450,65.0,416,144,Sawyer,TA,TA,TA,Unf,CBlock,1Story,Normal
86,122000,5,900,882.0,280.0,1967,1967,1,31.0,0,9819,,0,0,Sawyer,TA,TA,TA,Unf,CBlock,1Story,Normal
87,133000,5,1040,1040.0,308.0,1963,1963,1,0.0,0,7500,75.0,0,0,Sawyer,TA,TA,TA,Fin,CBlock,1Story,Normal
88,127000,5,1040,1040.0,260.0,1962,2010,1,0.0,0,6897,,0,104,Sawyer,TA,TA,TA,Unf,CBlock,1Story,Normal
89,169000,6,1494,1208.0,461.0,1974,2002,2,250.0,2,15410,39.0,296,0,Sawyer,TA,TA,TA,Fin,CBlock,1Story,Abnorml
90,190000,7,1923,750.0,564.0,1992,1992,2,0.0,1,10186,107.0,240,39,NoRidge,Gd,Gd,Gd,RFn,PConc,2Story,Normal
91,362500,8,2349,1231.0,762.0,1993,1993,2,504.0,1,13143,85.0,32,130,NoRidge,Gd,Gd,Gd,RFn,PConc,2Story,Normal
92,285000,8,2225,1390.0,713.0,1992,1993,2,180.0,1,11134,88.0,198,30,NoRidge,Gd,Gd,Gd,RFn,PConc,2Story,Normal
93,260000,7,1488,1488.0,506.0,2004,2005,2,0.0,1,4835,25.0,168,50,Somerst,Gd,Gd,Ex,Fin,PConc,1Story,Normal
94,190000,7,1680,840.0,588.0,2004,2004,2,0.0,0,3515,39.0,0,111,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
95,155000,7,1200,600.0,480.0,2004,2004,2,120.0,0,3215,30.0,0,172,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
96,151000,7,1200,600.0,480.0,2004,2005,2,0.0,0,3182,30.0,0,172,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
97,149500,7,1200,600.0,480.0,2004,2005,2,0.0,0,2544,24.0,0,172,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
98,152000,6,1236,600.0,480.0,2005,2005,2,216.0,0,2544,24.0,0,166,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
99,222000,7,1478,1470.0,484.0,2009,2009,2,432.0,1,4403,,0,144,Somerst,Gd,Ex,Ex,Fin,PConc,1Story,Partial
100,177500,6,1573,756.0,440.0,2000,2000,2,216.0,0,2117,,0,32,Somerst,Gd,Gd,Gd,Unf,PConc,2Story,Normal
101,177000,6,1512,756.0,440.0,2000,2000,2,1159.0,0,2980,,0,32,Somerst,Gd,Gd,Gd,Unf,PConc,2Story,Normal
102,155000,7,1416,696.0,484.0,1999,1999,2,0.0,0,2572,24.0,0,44,Somerst,Gd,Gd,Gd,Unf,PConc,2Story,Normal
103,147110,7,1080,530.0,496.0,2003,2003,2,0.0,0,2403,,0,50,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
104,267916,8,1418,1642.0,852.0,2010,2010,1,0.0,1,12853,57.0,160,192,Somerst,Gd,Gd,Ex,RFn,PConc,1Story,Partial
105,254000,8,1848,975.0,592.0,2000,2000,2,0.0,1,7379,68.0,280,184,Somerst,Gd,Gd,Gd,RFn,PConc,2Story,Normal
106,155000,8,788,728.0,484.0,1980,1980,1,0.0,1,4420,30.0,133,42,Greens,Gd,Gd,Gd,Fin,CBlock,1Story,Normal
107,206000,8,1226,1226.0,484.0,1978,1978,1,0.0,1,3880,40.0,223,78,Greens,Gd,Gd,Gd,Fin,CBlock,1Story,Normal
108,130500,6,1479,725.0,475.0,1976,2005,2,289.0,0,13517,,0,44,Sawyer,Gd,Gd,TA,RFn,CBlock,2Story,Normal
109,230000,7,1492,1492.0,596.0,2002,2002,2,0.0,1,8000,80.0,277,137,Somerst,Gd,Gd,Gd,RFn,PConc,1Story,Normal
110,218500,6,1829,1829.0,535.0,1967,1967,2,120.0,0,10456,,0,76,NWAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
111,243500,6,2495,1280.0,660.0,1993,1993,2,0.0,1,10791,80.0,224,32,NWAmes,Gd,TA,Gd,Unf,PConc,2Story,Normal
112,205000,6,1610,1610.0,480.0,1977,2001,2,28.0,2,10603,,168,68,NWAmes,Gd,TA,TA,RFn,PConc,1Story,Normal
113,212500,6,1891,1224.0,678.0,1978,1978,3,0.0,1,18837,,0,69,NWAmes,TA,TA,Gd,RFn,PConc,1.5Fin,Normal
114,196500,7,1714,980.0,496.0,1988,1988,2,42.0,1,10421,80.0,228,66,NWAmes,TA,TA,Gd,Unf,CBlock,2Story,Normal
115,197500,6,1381,1161.0,676.0,1972,2006,1,0.0,1,9360,78.0,0,0,NWAmes,Gd,TA,TA,RFn,CBlock,1Story,Normal
116,171000,6,1645,715.0,441.0,1971,1971,1,0.0,0,9600,80.0,0,78,NWAmes,TA,TA,TA,RFn,CBlock,2Story,Normal
117,142250,5,1232,1232.0,490.0,1966,1966,1,172.0,0,9600,80.0,0,224,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
118,143000,6,1328,1328.0,528.0,1963,1963,1,451.0,2,9790,,0,26,NWAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
119,128950,4,1225,950.0,0.0,1959,1959,1,0.0,0,9320,77.0,352,0,NAmes,TA,TA,TA,,CBlock,1Story,Normal
120,159000,5,1209,1209.0,504.0,1966,1966,1,0.0,0,9900,90.0,0,0,NAmes,TA,TA,Gd,RFn,PConc,1Story,Normal
121,178900,5,1510,1510.0,517.0,1967,1967,2,268.0,0,9680,88.0,0,40,NAmes,Gd,TA,TA,RFn,CBlock,1Story,Normal
122,136300,6,1775,533.0,480.0,1964,1964,2,0.0,0,10600,,0,172,NAmes,TA,TA,TA,Unf,CBlock,SLvl,Family
123,180500,5,1152,1152.0,484.0,1964,1964,1,86.0,1,14112,,227,0,NAmes,TA,TA,TA,RFn,PConc,SLvl,Normal
124,137500,6,1054,936.0,480.0,1963,1963,1,156.0,0,8800,80.0,120,0,NAmes,Gd,TA,TA,RFn,PConc,SFoyer,Abnorml
125,84900,5,1728,1728.0,0.0,1962,2001,2,144.0,0,13260,98.0,0,0,NAmes,TA,TA,TA,,CBlock,1Story,Abnorml
126,142125,5,1078,1078.0,240.0,1950,1996,1,0.0,0,9717,68.0,366,0,NAmes,Gd,TA,TA,Unf,CBlock,1Story,Normal
127,197600,5,2461,1140.0,400.0,1952,2002,2,265.0,2,9724,68.0,0,0,NAmes,TA,Gd,TA,Unf,CBlock,1.5Fin,Normal
128,172500,6,1556,782.0,470.0,1949,1950,2,340.0,1,17360,120.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1.5Fin,Normal
129,116500,5,858,858.0,0.0,1958,2008,1,0.0,0,7207,50.0,117,0,BrkSide,TA,TA,TA,,CBlock,1Story,Normal
130,76500,3,1306,728.0,0.0,1940,1966,1,0.0,0,5350,55.0,263,0,BrkSide,Fa,TA,TA,,CBlock,1Story,Normal
131,128000,5,1063,1056.0,280.0,1954,1954,1,110.0,0,9920,80.0,0,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
132,153000,6,1520,1156.0,364.0,1955,1972,1,164.0,2,9600,80.0,0,0,NAmes,TA,TA,TA,RFn,CBlock,SLvl,Normal
133,132000,5,1268,1268.0,244.0,1954,1954,1,200.0,1,7800,78.0,0,98,NAmes,TA,TA,TA,Fin,PConc,1Story,Normal
134,178000,6,1128,1080.0,315.0,1966,2008,1,216.0,1,11380,75.0,238,0,NAmes,Gd,TA,TA,Unf,CBlock,SFoyer,Normal
135,154300,5,2274,1105.0,480.0,1960,1960,2,361.0,0,11600,80.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,2Story,Normal
136,180000,7,2207,1947.0,576.0,1970,1989,2,287.0,1,19900,,301,0,NAmes,TA,TA,Gd,RFn,CBlock,1Story,Normal
137,190000,6,1888,1517.0,578.0,1966,2002,2,0.0,1,16492,137.0,0,0,NAmes,Gd,Gd,TA,Fin,CBlock,1Story,Normal
138,135000,5,1604,1604.0,576.0,1958,1958,2,0.0,0,8267,70.0,42,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
139,214000,7,1480,1480.0,620.0,2003,2009,2,506.0,0,8197,70.0,252,73,NAmes,Gd,Gd,Gd,RFn,PConc,1Story,Normal
140,136000,5,1143,1143.0,308.0,1959,1959,1,150.0,0,8050,,0,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
141,165500,5,1700,1398.0,447.0,1959,1959,1,0.0,1,10552,70.0,0,38,NAmes,Gd,TA,TA,RFn,CBlock,1Story,Normal
142,145000,5,1314,1314.0,294.0,1957,1957,1,0.0,0,8400,70.0,250,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
143,148000,6,1194,1194.0,312.0,1959,1959,1,220.0,0,8760,73.0,0,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
144,142000,5,1188,1188.0,531.0,1959,1959,1,180.0,0,12160,,0,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Abnorml
145,167500,5,1264,1268.0,461.0,1960,1960,1,324.0,2,9300,73.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
146,108538,5,1206,1206.0,312.0,1959,1959,1,91.0,0,10725,87.0,0,21,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
147,159500,6,1580,1244.0,440.0,1959,1959,1,432.0,2,10032,80.0,0,28,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
148,108000,4,1337,832.0,263.0,1956,1956,1,0.0,0,8382,60.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1.5Fin,Normal
149,135000,5,1064,864.0,318.0,1952,1952,1,0.0,0,10950,60.0,0,0,NAmes,Fa,TA,TA,Unf,CBlock,1Story,Normal
150,122500,5,972,972.0,305.0,1955,1955,1,0.0,0,10895,119.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
151,119000,5,988,988.0,264.0,1958,1958,1,0.0,0,13587,70.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Abnorml
152,109000,5,1057,1057.0,246.0,1953,2007,1,0.0,0,7922,68.0,0,52,NAmes,Gd,TA,TA,Unf,CBlock,1Story,Abnorml
153,105000,4,985,576.0,676.0,1920,1994,1,0.0,0,7898,65.0,0,0,NAmes,TA,TA,TA,Unf,BrkTil,1Story,Normal
154,107500,5,827,0.0,392.0,1955,2007,1,0.0,1,7200,60.0,0,0,NAmes,TA,TA,,Unf,Slab,1Story,Normal
155,144900,5,1086,1086.0,490.0,1954,2003,1,104.0,0,10200,85.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
156,129000,5,936,936.0,308.0,1956,2000,1,0.0,0,5868,74.0,0,0,NAmes,TA,TA,TA,Fin,CBlock,1Story,Normal
157,97500,6,1458,912.0,330.0,1948,1950,1,0.0,1,17503,78.0,192,0,NAmes,TA,TA,TA,Unf,CBlock,1.5Fin,Abnorml
158,144000,6,1056,1056.0,576.0,1980,1980,0,0.0,0,6979,64.0,264,56,OldTown,TA,TA,TA,Unf,CBlock,SFoyer,Normal
159,162000,5,1287,1063.0,576.0,1959,2006,1,0.0,1,9830,,364,17,NAmes,Gd,TA,TA,Fin,CBlock,1Story,Normal
160,242000,7,2978,710.0,564.0,1967,2007,2,300.0,1,11275,96.0,240,0,NAmes,Gd,Gd,Gd,Fin,CBlock,SLvl,Normal
161,132000,6,1224,816.0,280.0,1948,2004,1,0.0,0,8064,60.0,414,0,NAmes,TA,TA,TA,Unf,CBlock,1.5Fin,Normal
162,154000,5,1246,1246.0,305.0,1959,1994,1,0.0,0,7500,75.0,218,0,NAmes,Gd,TA,TA,RFn,CBlock,1Story,Normal
163,166000,5,1385,910.0,720.0,1952,1952,2,0.0,0,8520,71.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1.5Fin,Normal
164,134800,5,900,900.0,576.0,1951,2000,1,0.0,0,7200,60.0,222,32,NAmes,Gd,TA,TA,Unf,CBlock,1Story,Normal
165,160000,6,1116,1116.0,440.0,1962,1962,1,261.0,0,10000,87.0,0,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
166,148000,5,1175,1175.0,484.0,1960,1960,1,0.0,0,7635,81.0,0,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
167,192000,6,1395,1395.0,440.0,1963,1984,1,218.0,1,9760,80.0,657,0,NAmes,TA,TA,TA,RFn,CBlock,1Story,Normal
168,155000,6,1839,756.0,442.0,1966,1966,1,351.0,1,7700,70.0,0,124,NAmes,TA,TA,TA,Unf,CBlock,2Story,Normal
169,80400,4,1844,709.0,240.0,1900,1954,1,771.0,2,4800,60.0,84,0,OldTown,TA,TA,TA,Unf,PConc,1.5Fin,Abnorml
170,96500,4,1140,576.0,0.0,1910,2004,1,0.0,0,8800,55.0,0,160,OldTown,TA,TA,TA,,BrkTil,1.5Fin,Normal
171,109500,5,936,936.0,0.0,1920,1950,1,0.0,1,4485,56.0,51,0,OldTown,TA,TA,TA,,PConc,1Story,Normal
172,115000,5,1028,1008.0,360.0,1927,1950,1,0.0,1,8960,56.0,0,0,OldTown,TA,TA,TA,Unf,CBlock,1Story,Normal
173,143000,5,1347,1347.0,551.0,1957,1957,1,0.0,0,5805,69.0,0,0,OldTown,Gd,TA,TA,Unf,CBlock,1Story,Normal
174,107400,3,1605,840.0,379.0,1915,1950,2,0.0,0,5790,60.0,0,0,OldTown,TA,Gd,Fa,Unf,CBlock,2Story,Normal
175,80000,4,747,747.0,220.0,1945,1950,1,0.0,0,4608,47.0,0,0,OldTown,TA,TA,TA,Unf,CBlock,1Story,Normal
176,119000,5,804,788.0,240.0,1940,1992,1,294.0,2,7200,60.0,0,0,OldTown,Gd,TA,TA,Unf,CBlock,1Story,Abnorml
177,130000,5,1316,926.0,484.0,1929,2001,1,0.0,0,5500,50.0,0,0,OldTown,TA,TA,TA,Unf,BrkTil,1.5Fin,Normal
178,119000,6,1251,827.0,240.0,1938,2000,1,0.0,0,6900,50.0,0,0,OldTown,Fa,TA,Gd,Unf,PConc,1.5Fin,Normal
179,129000,5,1633,1027.0,240.0,1948,2009,1,0.0,1,11851,69.0,0,100,OldTown,Gd,TA,TA,Unf,BrkTil,1.5Fin,Normal
