,Unnamed: 0,SalePrice,Overall Qual,Gr Liv Area,Total Bsmt SF,Garage Area,Year Built,Year Remod/Add,Full Bath,Mas Vnr Area,Fireplaces,Lot Area,Lot Frontage,Wood Deck SF,Open Porch SF,Kitchen Qual,Exter Qual,Bsmt Qual,Garage Finish,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
39,39,290941,8,1544,1544.0,868.0,2009,2010,2,256.0,0,12883,94.0,0,35,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,40,220000,7,1541,1541.0,532.0,2005,2005,2,226.0,1,12182,95.0,0,70,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,41,275000,9,1698,1698.0,730.0,2005,2005,2,615.0,1,11520,90.0,192,74,5,3,5.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,42,259000,8,1822,1822.0,678.0,2005,2006,2,240.0,1,14122,79.0,0,119,5,3,5.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,43,214000,7,1535,1517.0,532.0,2004,2004,2,168.0,0,10171,70.0,0,0,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,44,611657,9,2364,2330.0,820.0,2009,2010,2,760.0,2,12919,100.0,0,67,5,4,5.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,45,224000,7,1358,1358.0,484.0,2009,2010,2,128.0,1,6371,44.0,192,35,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,46,500000,9,2696,2846.0,958.0,2003,2004,2,1095.0,2,14300,110.0,220,150,5,4,5.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,47,320000,8,2250,1671.0,756.0,2002,2002,2,232.0,1,13650,105.0,238,130,4,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,48,319900,9,1752,1752.0,576.0,2005,2005,2,412.0,1,7658,61.0,196,82,5,4,5.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,49,205000,8,1370,1370.0,484.0,2006,2006,2,178.0,1,7132,41.0,120,49,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,50,175500,7,1626,764.0,474.0,2003,2003,2,106.0,0,2628,36.0,0,27,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,51,199500,6,1324,1324.0,430.0,2005,2005,2,0.0,0,18494,100.0,36,23,4,3,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,160000,7,1145,1145.0,437.0,2006,2006,2,14.0,0,3203,43.0,100,116,4,3,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,192000,8,1269,1256.0,430.0,2004,2005,2,16.0,1,3182,43.0,146,20,4,3,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,184500,7,1374,384.0,400.0,2004,2004,2,0.0,1,13300,67.0,100,0,4,3,4.0,3.0,False,False,False,False,False,False,True,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,216500,6,1960,860.0,440.0,2002,2002,2,0.0,2,7851,68.0,288,48,4,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,185088,7,1733,847.0,433.0,2004,2004,2,0.0,1,8577,63.0,144,48,4,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,180000,7,1430,384.0,400.0,2000,2000,2,0.0,1,7750,68.0,180,0,3,2,4.0,3.0,False,False,False,False,False,False,True,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,222500,7,2035,884.0,434.0,2001,2001,2,180.0,1,9505,68.0,144,48,4,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,333168,9,2599,1393.0,779.0,1999,1999,2,165.0,1,14774,108.0,668,30,4,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,60,355000,8,2475,1629.0,962.0,1998,1998,2,114.0,1,17433,60.0,23,172,4,3,5.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,61,260400,7,1720,1720.0,527.0,1996,1996,2,338.0,1,10593,59.0,240,56,4,3,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,62,325000,8,2622,1463.0,712.0,1994,1995,2,362.0,2,12256,98.0,186,32,4,3,5.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,63,290000,8,2270,1152.0,671.0,1999,2007,2,348.0,1,11764,92.0,132,57,4,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,64,221000,7,1839,1195.0,486.0,1998,1998,2,30.0,0,16770,58.0,0,81,3,3,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,65,410000,8,3238,2033.0,666.0,1995,1996,2,579.0,1,14720,56.0,283,86,4,3,4.0,3.0,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,66,221500,8,1595,1595.0,880.0,2005,2006,2,226.0,1,8987,73.0,144,0,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,67,204500,7,1218,1218.0,676.0,2009,2010,2,0.0,0,9215,92.0,0,136,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,68,215200,7,1547,756.0,614.0,2009,2009,2,0.0,0,8640,72.0,169,45,4,2,4.0,1.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,69,262500,8,1566,1566.0,750.0,2008,2008,2,36.0,0,9000,75.0,144,168,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,70,254900,7,1947,991.0,678.0,2004,2005,2,0.0,1,12552,100.0,0,136,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,71,271500,6,1468,1468.0,528.0,2005,2005,2,0.0,1,10440,84.0,0,102,4,3,5.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,72,233000,7,2084,956.0,618.0,2004,2004,2,0.0,0,10142,76.0,0,45,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,73,181000,7,1659,831.0,484.0,2004,2004,2,122.0,0,11920,70.0,144,68,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,74,205000,7,2110,948.0,463.0,1994,2002,2,0.0,2,8880,68.0,0,130,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,75,143000,6,923,923.0,264.0,1980,1980,2,0.0,1,8012,50.0,80,0,3,2,4.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,76,189000,6,1845,1055.0,462.0,1992,1992,2,0.0,1,11218,70.0,635,104,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,77,99500,6,918,918.0,264.0,1979,1979,2,0.0,1,7892,55.0,28,0,3,2,4.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,78,125000,6,752,744.0,264.0,1984,1984,1,0.0,0,7175,50.0,353,0,3,2,4.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,79,194500,7,1744,996.0,457.0,1993,2003,2,0.0,0,9453,68.0,370,70,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,80,152000,6,1097,1040.0,480.0,1984,1985,2,0.0,0,9672,81.0,0,0,3,2,4.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,81,171000,6,1564,650.0,476.0,1980,1981,2,130.0,1,8400,70.0,0,50,3,2,4.0,1.0,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,82,67500,5,1012,816.0,429.0,1920,1950,1,0.0,0,9800,70.0,121,0,3,2,3.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,84,148000,5,1155,1109.0,576.0,1961,1995,1,0.0,0,11782,88.0,192,0,4,2,3.0,1.0,False,False,False,False,False,True,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,85,138500,5,894,894.0,336.0,1965,2009,1,0.0,1,8450,65.0,416,144,3,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,86,122000,5,900,882.0,280.0,1967,1967,1,31.0,0,9819,68.0,0,0,3,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,87,133000,5,1040,1040.0,308.0,1963,1963,1,0.0,0,7500,75.0,0,0,3,2,3.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,88,127000,5,1040,1040.0,260.0,1962,2010,1,0.0,0,6897,68.0,0,104,3,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
